"","UMAP1","UMAP2","gene","module","color","hub","kME"
"RPL36AL",4.96856374651631,3.98326599512621,"RPL36AL","Module2","#fe9b00","other",0.634789866596784
"NEMF",-1.22470383733074,-3.14677226628736,"NEMF","Module11","#92c051","other",0.253877294218249
"ARF6",-1.16203765958111,-0.51091584648565,"ARF6","Module7","#9f5691","other",0.548842192634354
"NUDT5",3.82509536654194,-1.56442254867033,"NUDT5","Module2","#fe9b00","other",0.309708966593673
"ATP5C1",5.79596586138447,7.05293619547411,"ATP5C1","Module4","#9b3441","other",0.191167645351858
"VDAC2",6.27898998171528,-3.0415278681703,"VDAC2","Module5","#de597c","other",0.319575685287889
"NSD1",0.659422408644753,-2.71979856576399,"NSD1","Module11","#92c051","other",0.351524811757256
"HPRT1",5.03816957384785,-1.60913235034422,"HPRT1","Module2","#fe9b00","other",0.294819545611323
"PSMC3",4.1858226767226,-0.403669000525033,"PSMC3","Module2","#fe9b00","other",0.253170170576619
"IFI27",0.12901687235077,-1.55693429793791,"IFI27","Module1","#f4c40f","other",0.525867901584861
"NDUFB8",-3.09642558186809,4.36205637369677,"NDUFB8","Module10","#2b9b81","other",0.301014770813811
"CCT2",4.50923986345966,-5.52082049931959,"CCT2","Module5","#de597c","other",0.356950028010981
"PCBD1",5.22208089739521,-2.02728819932417,"PCBD1","Module2","#fe9b00","other",0.174471918014717
"ANAPC16",-0.652318526204032,2.70554697428271,"ANAPC16","Module7","#9f5691","other",0.549793307875882
"ILK",5.29819364458759,-1.96207535352186,"ILK","Module2","#fe9b00","other",0.278863260395218
"TAF10",-12.0131247529344,-2.72786259736494,"TAF10","Module3","#d8443c","other",0.0672114923291165
"CYB5A",5.48302144915302,-1.12176910128072,"CYB5A","Module2","#fe9b00","other",0.116267301956493
"RPL27A",-11.9855044373826,-4.50783240880445,"RPL27A","Module6","#e87b89","other",0.571515953430548
"PRKCB",-11.8229849824266,-2.36453437890485,"PRKCB","Module3","#d8443c","other",0.139544613087198
"SEC11C",4.55775661379536,-2.57418012704328,"SEC11C","Module2","#fe9b00","other",0.401058784281167
"FAM96B",5.82058973223408,7.07523977671191,"FAM96B","Module4","#9b3441","other",0.293241539138583
"HSP90B1",-0.884320724900168,-3.76993024434522,"HSP90B1","Module11","#92c051","other",0.50182085842963
"ATF7IP2",-0.856691766674918,-2.99119794454054,"ATF7IP2","Module1","#f4c40f","other",0.266458142137719
"B2M",5.78893489748676,7.72428190622851,"B2M","Module4","#9b3441","other",0.699108021618754
"SLFN5",-11.9004576691941,-1.76431030120329,"SLFN5","Module3","#d8443c","other",0.220576295113852
"PPIB",4.82214374453266,4.13403189096972,"PPIB","Module4","#9b3441","other",0.424917674734161
"FAM96A",6.62177009493549,6.75562107477709,"FAM96A","Module4","#9b3441","other",0.182702217393832
"TERF2IP",0.867184650008279,-2.40367543782667,"TERF2IP","Module1","#f4c40f","other",0.296708249776368
"YWHAB",1.34564502150257,-6.57716739263014,"YWHAB","Module8","#633372","other",0.110890810373209
"MAPRE2",3.57577485949238,5.68842613611742,"MAPRE2","Module10","#2b9b81","other",0.0681187993616092
"PHB",4.32292098910053,-1.71793240394071,"PHB","Module2","#fe9b00","other",0.342959492032445
"SNRPD1",3.52465672404011,1.2265864602141,"SNRPD1","Module9","#1f6e9c","other",0.544357070135664
"ATP5L",5.73568124682148,7.68548548136278,"ATP5L","Module4","#9b3441","other",0.606988399178775
"CD3D",-0.3332490512685,3.11862099085375,"CD3D","Module10","#2b9b81","other",0.243465750318886
"ACAA2",-1.46096758931438,-0.771185682076967,"ACAA2","Module7","#9f5691","other",0.480277448622517
"VKORC1",-1.3476496228532,3.15206158075854,"VKORC1","Module10","#2b9b81","other",0.101531729346393
"GPX4",6.46339769274433,-1.52665001239256,"GPX4","Module2","#fe9b00","other",0.48888133129699
"TRAPPC2L",2.28180665880879,2.14930069361254,"TRAPPC2L","Module9","#1f6e9c","other",0.263982665261938
"RPL13",5.56379671007832,7.63865339670702,"RPL13","Module4","#9b3441","hub",0.847843817868685
"SPINT2",-0.309252087171477,-2.05395150269941,"SPINT2","Module1","#f4c40f","other",0.522914644339035
"EEF2",1.41741509348591,-7.53919017400221,"EEF2","Module8","#633372","other",0.149067672905506
"OTUB1",4.57050580889423,4.41717207346483,"OTUB1","Module4","#9b3441","other",0.160507615597523
"CDK2AP2",5.6776291838332,-3.43501436795667,"CDK2AP2","Module5","#de597c","other",0.365612878309883
"ATP5H",5.80786485583027,7.21622431192919,"ATP5H","Module4","#9b3441","other",0.221006080162317
"SDHAF2",-2.09552471726696,4.11359417353197,"SDHAF2","Module10","#2b9b81","other",0.135041241404551
"BEST1",2.28125424296101,-6.87265050496534,"BEST1","Module8","#633372","other",0.0498872316018145
"FTH1",6.54841394335468,-3.00978744115308,"FTH1","Module5","#de597c","hub",0.78583775604692
"POLR2G",1.23722762972553,2.40658175859972,"POLR2G","Module9","#1f6e9c","other",0.462569115266939
"SLC3A2",5.1373197546645,-4.35700476254896,"SLC3A2","Module5","#de597c","hub",0.76064992003532
"RPSA",5.77486009508808,6.14682924662157,"RPSA","Module4","#9b3441","other",0.604146849469347
"CTNNB1",-0.102939168135923,-3.03980934705213,"CTNNB1","Module11","#92c051","other",0.313225903220746
"SF1",1.86755950361927,-6.99904000844434,"SF1","Module8","#633372","other",0.0959925835239246
"COPS6",1.63716645151814,-0.510192186493432,"COPS6","Module2","#fe9b00","other",0.223623527297254
"NUDT16L1",5.45885343462666,-0.616140545267618,"NUDT16L1","Module2","#fe9b00","other",0.214048915970084
"DDIT4",-0.530623544152183,0.688305019479239,"DDIT4","Module7","#9f5691","other",0.725425284043348
"RBPJ",-0.275196451838416,-2.53003203954176,"RBPJ","Module1","#f4c40f","hub",0.78663263109067
"POLR2J3",0.957076381747323,0.130295156579459,"POLR2J3","Module7","#9f5691","other",0.403691705354173
"DNAJC7",0.975980352465707,-2.11621332253889,"DNAJC7","Module1","#f4c40f","other",0.520909777347262
"COA6",4.19208497912129,-1.93357360448316,"COA6","Module2","#fe9b00","other",0.203937650151579
"MMADHC",4.56431550890644,-1.95184528912977,"MMADHC","Module2","#fe9b00","other",0.340332475280043
